test_number,chunk_shape,chunk_size,write_time,write_bps,read_time,read_bps
0,"(256, 128, 64)",4194304,40.93064918555319,104932791.9654874,15.589015336707234,275512417.1240438
1,"(256, 128, 64)",4194304,64.09163072146475,67012919.59110013,14.424078119918704,297763729.52867836
2,"(256, 128, 64)",4194304,68.1078008627519,63061312.237272866,15.060104148462415,285188419.2606
3,"(256, 128, 64)",4194304,65.60729879233986,65464778.69168833,15.929942016489804,269616003.0936764
4,"(256, 128, 64)",4194304,65.8546282928437,65218913.34502796,14.47193899564445,296778980.155502
5,"(256, 128, 64)",4194304,65.70912171341479,65363334.40480555,14.260873600840569,301171401.9922906
6,"(256, 128, 64)",4194304,65.32029983587563,65752412.4474562,14.300734425894916,300331938.7725241
7,"(256, 128, 64)",4194304,67.90498979855329,63249656.74454021,14.302150920033455,300302193.7059767
8,"(256, 128, 64)",4194304,75.77549239899963,56680163.46742606,14.532107334583998,295550204.5996242
9,"(256, 128, 64)",4194304,65.36660991515964,65705829.03984933,14.593448272906244,294307912.4057271
10,"(256, 128, 128)",8388608,66.84316054731607,64254401.809138484,13.602539530955255,315747459.2318557
11,"(256, 128, 128)",8388608,37.0087244650349,116052832.3546465,13.716756056062877,313118296.95342594
12,"(256, 128, 128)",8388608,37.52055643964559,114469712.16721565,13.69644651375711,313582599.084077
13,"(256, 128, 128)",8388608,47.291750931181014,90818529.90070169,13.481209132820368,318589175.0276157
14,"(256, 128, 128)",8388608,37.10524072498083,115750961.64538409,14.13178014755249,303922595.1122551
15,"(256, 128, 128)",8388608,37.5478103896603,114386624.71734233,13.699260095134377,313518194.864076
16,"(256, 128, 128)",8388608,37.14340164326131,115632039.76982027,12.806520226411521,335373483.19977474
17,"(256, 128, 128)",8388608,39.674344236031175,108255533.36050923,13.746628457680345,312437868.6179133
18,"(256, 128, 128)",8388608,37.449263732880354,114687629.81924877,13.004640256986022,330264214.24404776
19,"(256, 128, 128)",8388608,38.5137884458527,111517653.00986633,13.284175055101514,323314566.2553285
20,"(512, 128, 128)",16777216,34.33258004207164,125098879.569694,12.307662169449031,348966947.32662374
21,"(512, 128, 128)",16777216,24.831745040602982,172962765.5638859,12.988281240686774,330680189.0419257
22,"(512, 128, 128)",16777216,23.128671031445265,185698836.31275877,12.227119483053684,351265668.25102663
23,"(512, 128, 128)",16777216,23.140574294142425,185603314.82728955,12.36140329670161,347449815.60030687
24,"(512, 128, 128)",16777216,25.896501903422177,165851253.2703279,12.582189820706844,341352924.82487094
25,"(512, 128, 128)",16777216,23.73167735338211,180980350.9480085,12.336651769466698,348146918.32593304
26,"(512, 128, 128)",16777216,23.502954454161227,182741591.2487364,12.092280194163322,355182581.53438145
27,"(512, 128, 128)",16777216,28.198329552076757,152312827.18602327,12.116990639828146,354458249.8795192
28,"(512, 128, 128)",16777216,23.688843375071883,181307598.18014824,12.182879657484591,352541223.1550176
29,"(512, 128, 128)",16777216,22.84262517094612,188024242.56660455,12.417986520566046,345866641.81724554
30,"(512, 256, 128)",33554432,25.355047343298793,169392990.58872148,12.807679709978402,335343121.7251484
31,"(512, 256, 128)",33554432,18.96191081777215,226504983.45211706,11.726295676082373,366268036.7816635
32,"(512, 256, 128)",33554432,17.259163465350866,248851417.6612607,11.495036045089364,373636696.67088985
33,"(512, 256, 128)",33554432,16.943230795674026,253491636.14631268,12.59141517803073,341102825.63740575
34,"(512, 256, 128)",33554432,16.645296677015722,258028882.2325773,12.31968170683831,348626482.258546
35,"(512, 256, 128)",33554432,16.199335826560855,265132308.01461992,12.3050686866045,349040497.4882889
36,"(512, 256, 128)",33554432,21.74035092908889,197557404.20239833,12.773020579479635,336253063.1869517
37,"(512, 256, 128)",33554432,16.90573958028108,254053794.90227488,12.569883542135358,341687119.1847475
38,"(512, 256, 128)",33554432,17.030726274475455,252189321.0412886,12.257998357526958,350380802.0469099
39,"(512, 256, 128)",33554432,16.26613681856543,264043475.3443067,11.956325926817954,359221329.55295396
40,"(512, 256, 256)",67108864,15.752729224041104,272649090.51094556,11.372316095046699,377668652.5509704
41,"(512, 256, 256)",67108864,13.006026464514434,330229014.04347926,11.516470097005367,372941297.100821
42,"(512, 256, 256)",67108864,12.917523079551756,332491551.94457275,11.83862185664475,362792844.30301595
43,"(512, 256, 256)",67108864,12.873660334385931,333624407.0793148,11.488595648668706,373846153.8158233
44,"(512, 256, 256)",67108864,13.383120539598167,320924203.2373533,10.97149687167257,391465936.3472293
45,"(512, 256, 256)",67108864,13.853809729218483,310020664.34777623,11.238348599523306,382170677.29881406
46,"(512, 256, 256)",67108864,13.013415860943496,330041500.3942406,12.207110226154327,351841444.5703803
47,"(512, 256, 256)",67108864,13.631107775494456,315085711.79529124,11.605815987102687,370070256.2209251
48,"(512, 256, 256)",67108864,13.288396609947085,323211853.32359695,11.156263793818653,384982586.94633156
49,"(512, 256, 256)",67108864,12.972451996989548,331083691.57941085,11.74649618100375,365638163.91016704
50,"(1024, 256, 256)",134217728,13.580128808505833,316268524.1475672,11.472654769197106,374365600.84868443
51,"(1024, 256, 256)",134217728,12.172011883929372,352855989.37597305,11.589562462642789,370589253.03212965
52,"(1024, 256, 256)",134217728,12.05192937888205,356371760.98341906,11.520004149526358,372826887.92925364
53,"(1024, 256, 256)",134217728,12.635405115783215,339915282.2282717,11.475749428384006,374264645.8781045
54,"(1024, 256, 256)",134217728,12.10834399331361,354711370.80113834,11.70601424574852,366902619.9553686
55,"(1024, 256, 256)",134217728,11.740464249625802,365826018.85925347,11.300119934603572,380081567.35114115
56,"(1024, 256, 256)",134217728,12.170547186397016,352898454.7876756,11.410628736950457,376400581.86205167
57,"(1024, 256, 256)",134217728,12.144569116644561,353653328.88703275,11.33210506848991,379008778.16096157
58,"(1024, 256, 256)",134217728,11.982348382472992,358441196.90948075,11.245185383595526,381938327.3365593
59,"(1024, 256, 256)",134217728,12.903155466541648,332861779.9837417,11.446980902925134,375205246.90510094
60,"(1024, 512, 256)",268435456,12.25889582093805,350355150.9642692,11.377183590084314,377507074.7511925
61,"(1024, 512, 256)",268435456,11.987391008995473,358290414.7180156,10.93276247009635,392852886.7015757
62,"(1024, 512, 256)",268435456,12.184062321670353,352507003.2152617,10.885457653552294,394560103.2767241
63,"(1024, 512, 256)",268435456,11.877022862434387,361619855.8970928,11.121755879372358,386177087.7353928
64,"(1024, 512, 256)",268435456,11.773217162117362,364808296.39496505,10.939175291918218,392622586.38209134
